tahun,bulan_num,tpk_aktual,tpk_prediksi,split
2019,1,51.45,50.68735547855397,train
2019,2,48.08,48.6616532247442,train
2019,3,48.81,46.325782208301725,train
2019,4,49.19,44.30563718170557,train
2019,5,36.47,43.14251437342592,train
2019,6,47.57,43.14807160063953,train
2019,7,49.03,44.320819808802355,train
2019,8,46.26,46.346522062612124,train
2019,9,47.57,48.6823930790546,train
2019,10,50.36,50.70253810565076,train
2019,11,51.59,51.865660913930405,train
2019,12,54.82,51.86010368671679,train
2020,1,45.96,36.53266438659995,train
2020,2,46.47,34.50696213279018,train
2020,3,28.73,32.1710911163477,train
2020,4,8.02,30.150946089751546,train
2020,5,13.35,28.987823281471897,train
2020,6,19.13,28.99338050868551,train
2020,7,27.17,30.166128716848334,train
2020,8,34.95,32.1918309706581,train
2020,9,32.68,34.52770198710058,train
2020,10,37.02,36.54784701369674,train
2020,11,41.31,37.71096982197638,train
2020,12,38.8,37.70541259476277,train
2021,1,26.68,34.903871283151666,train
2021,2,33.85,32.8781690293419,train
2021,3,34.23,30.542298012899426,train
2021,4,32.17,28.52215298630327,train
2021,5,30.58,27.359030178023623,train
2021,6,32.9,27.364587405237234,train
2021,7,16.94,28.53733561340006,train
2021,8,24.95,30.563037867209825,train
2021,9,37.33,32.898908883652304,train
2021,10,44.68,34.91905391024846,train
2021,11,45.41,36.0821767185281,train
2021,12,47.53,36.076619491314496,train
2022,1,46.885384615384616,45.80097616820914,train
2022,2,46.24076923076923,43.77527391439937,train
2022,3,45.59615384615385,41.439402897956896,train
2022,4,44.95153846153846,39.41925787136074,train
2022,5,44.30692307692308,38.256135063081096,train
2022,6,43.66230769230769,38.261692290294704,train
2022,7,43.01769230769231,39.43444049845753,train
2022,8,42.37307692307692,41.4601427522673,train
2022,9,41.72846153846154,43.79601376870978,train
2022,10,41.08384615384615,45.81615879530593,train
2022,11,40.43923076923077,46.97928160358558,train
2022,12,39.79461538461538,46.97372437637197,train
2023,1,39.15,44.172183064760866,train
2023,2,38.93,42.1464808109511,train
2023,3,36.92,39.81060979450862,train
2023,4,35.34,37.79046476791247,train
2023,5,35.68222222222222,36.62734195963282,train
2023,6,36.02444444444445,36.63289918684643,train
2023,7,36.36666666666667,37.80564739500926,train
2023,8,36.70888888888889,39.83134964881902,train
2023,9,37.05111111111111,42.167220665261496,train
2023,10,37.39333333333334,44.18736569185766,train
2023,11,37.73555555555556,45.3504885001373,train
2023,12,38.07777777777778,45.34493127292369,train
2024,1,38.42,42.543389961312585,train
2024,2,40.03,40.51768770750282,train
2024,3,32.39,38.18181669106035,train
2024,4,37.99,36.161671664464194,train
2024,5,42.45,34.99854885618454,train
2024,6,43.81,35.004106083398156,train
2024,7,44.96,36.17685429156098,train
2024,8,41.44,38.20255654537075,train
2024,9,42.09,40.53842756181322,train
2024,10,44.82,42.558572588409376,train
2024,11,42.72,43.72169539668903,train
2024,12,47.87,43.716138169475414,train
2025,1,40.08,40.91459685786431,test
2025,2,37.88,38.88889460405455,test
2025,3,24.28,36.553023587612074,test
2025,4,38.07,34.53287856101592,test
2025,5,37.59,33.36975575273627,test
2025,6,37.5,33.37531297994988,test
2025,7,38.8,34.548061188112705,test
2025,8,36.12,36.57376344192247,test
2025,9,36.33,38.90963445836495,test
2025,10,38.9,40.9297794849611,test
2025,11,41.41,42.092902293240755,test
2025,12,45.75,42.08734506602714,test
